Student_Type,Sleep_Hours,Study_Hours,Social_Media_Hours,Attendance,Exam_Pressure,Family_Support,Month,Stress_Level,,,,,,,,,,,,,,,,
school,6.87,1.71,3.18,81.94,8,7,2,1,,,,,,,,,,,,,,,,
school,8.52,3.25,3.88,93.98,6,4,3,1,,,,,,,,,,,,,,,,
college,4.5,6.31,2.94,64.42,7,1,12,1,,,Attendance,,,Exam pressure,,,Family support,,,Month,,,Stress level,
school,8.59,2.38,5.22,81.87,2,7,7,0,,,,,,,,,,,,,,,,
college,5.33,9.35,7.82,85.85,5,6,10,1,,,Mean,81.27096147,,Mean,5.369639688,,Mean,5.798248513,,Mean,6.501178416,,Mean,0.299854896
college,4.91,4.7,2.14,85.14,3,5,5,0,,,Standard Error,0.077481483,,Standard Error,0.015379954,,Standard Error,0.014348063,,Standard Error,0.02221813,,Standard Error,0.002869436
college,6.62,5.26,4.88,81.94,4,7,7,0,,,Median,81.94295863,,Median,5,,Median,6,,Median,6,,Median,0
college,6.36,2.83,6.2,74.18,7,8,6,0,,,Mode,105,,Mode,5,,Mode,6,,Mode,3,,Mode,0
college,8.09,5.04,4.66,89.56,3,2,7,0,,,Standard Deviation,12.05204489,,Standard Deviation,2.393992424,,Standard Deviation,2.232403741,,Standard Deviation,3.455258523,,Standard Deviation,0.458203199
college,4.63,4.74,5.58,95.79,5,5,10,0,,,Sample Variance,145.251786,,Sample Variance,5.731199726,,Sample Variance,4.983626461,,Sample Variance,11.93881146,,Sample Variance,0.209950171
working_student,4.01,9.73,5.68,78.66,3,9,7,0,,,Kurtosis,5.595195444,,Kurtosis,-0.806549188,,Kurtosis,-0.547479376,,Kurtosis,-1.219275325,,Kurtosis,-1.236785472
school,5.57,3.5,5.78,85.48,5,5,3,1,,,Skewness,-1.126707794,,Skewness,0.005170984,,Skewness,-0.208042358,,Skewness,0.005218193,,Skewness,0.873677023
college,9.93,5.78,5.17,85.02,8,8,3,1,,,Range,125,,Range,9,,Range,9,,Range,11,,Range,1
college,7.54,6.81,0.19,77.97,7,6,1,1,,,Minimum,-5,,Minimum,1,,Minimum,1,,Minimum,1,,Minimum,0
college,6.81,7.42,4.22,83.43,9,5,11,1,,,Maximum,120,,Maximum,10,,Maximum,10,,Maximum,12,,Maximum,1
